sample_id,word,start,end,ctc_score,fallback_used,reasons
-NFrJFQijFE__1,inside,2.5025,2.8225,0.0099,False,low_ctc
-NFrJFQijFE__1,have,2.9825,3.0625,0.0157,False,low_ctc
-NFrJFQijFE__1,to,3.2825,3.3425,0.0068,False,low_ctc
-NFrJFQijFE__1,be,3.4825,3.6425,0.0059,False,low_ctc
-NFrJFQijFE__1,properly,3.7825,4.0625,0.009,False,low_ctc;overlap_risk
-NFrJFQijFE__1,stress,4.0825,4.2825,0.0112,False,low_ctc;overlap_risk
-NFrJFQijFE__1,analyzed,4.3225,4.4825,0.0133,False,low_ctc
-NFrJFQijFE__1,so,4.5225,4.5625,0.0028,False,low_ctc;very_short;overlap_risk
-NFrJFQijFE__1,we,4.5825,4.6225,0.0113,False,low_ctc;very_short;overlap_risk
-NFrJFQijFE__1,make,4.7025,4.8625,0.0102,False,low_ctc
-NFrJFQijFE__1,sure,4.9225,5.0025,0.0082,False,low_ctc
-NFrJFQijFE__1,all,5.0425,5.1225,0.021,False,low_ctc
-NFrJFQijFE__1,that,5.2025,5.3425,0.0103,False,low_ctc;overlap_risk
-NFrJFQijFE__1,happens,5.3625,5.6225,0.0073,False,low_ctc;overlap_risk;edge_clip_end
-NFrJFQijFE__2,So,0.6625,1.8025,0.0008,False,low_ctc
-NFrJFQijFE__2,we,1.9425,1.9825,0.0007,False,low_ctc;very_short
-NFrJFQijFE__2,coordinate,2.1425,2.3625,0.002,False,low_ctc
-NFrJFQijFE__2,with,2.3825,2.4825,0.0083,False,low_ctc
-NFrJFQijFE__2,all,2.5425,2.6225,0.0017,False,low_ctc
-NFrJFQijFE__2,the,2.6425,2.7425,0.0438,False,low_ctc
-NFrJFQijFE__2,proper,2.7625,2.9025,0.0063,False,low_ctc
-NFrJFQijFE__2,technical,3.0225,3.7825,0.1119,False,low_ctc
-NFrJFQijFE__2,fields,4.1025,4.2825,0.0068,False,low_ctc
-NFrJFQijFE__2,to,4.3225,4.3625,0.4974,False,very_short
-NFrJFQijFE__2,get,4.3825,4.4425,0.0009,False,low_ctc
-NFrJFQijFE__2,ready,4.4825,4.6625,0.2202,False,low_ctc
-NFrJFQijFE__2,for,4.6825,4.7425,0.0116,False,low_ctc
-NFrJFQijFE__2,the,4.7625,4.8425,0.0029,False,low_ctc
-NFrJFQijFE__2,to,6.0825,6.1425,0.0013,False,low_ctc
-NFrJFQijFE__2,arrive,6.2225,6.5025,0.3314,False,marginal_ctc
-NFrJFQijFE__2,here,6.5825,6.6625,0.0223,False,low_ctc
-RfYyzHpjk4__11,a,4.0625,4.0825,0.9595,False,very_short
-RfYyzHpjk4__2,You,0.5025,0.5825,0.1748,False,low_ctc;filler_like
-RfYyzHpjk4__2,a,0.9425,0.9625,0.9636,False,very_short
-RfYyzHpjk4__2,it,1.6825,1.7225,0.0041,False,low_ctc;very_short
-RfYyzHpjk4__2,takes,1.7625,1.9825,0.2071,False,low_ctc
-RfYyzHpjk4__2,quite,2.0225,2.2025,0.3387,False,marginal_ctc
-RfYyzHpjk4__2,a,2.2825,2.3025,0.7621,False,very_short
-RfYyzHpjk4__2,of,2.4825,2.5225,0.9281,False,very_short
-RfYyzHpjk4__2,well,2.8625,2.9625,0.4415,False,marginal_ctc
-RfYyzHpjk4__2,a,3.1225,3.1425,0.9959,False,very_short
-RfYyzHpjk4__2,of,3.3625,3.4025,0.9683,False,very_short
-RfYyzHpjk4__2,do,5.1825,5.2625,0.0022,False,low_ctc
-RfYyzHpjk4__8,you,2.0225,2.0825,0.9999,False,filler_like
-RfYyzHpjk4__8,of,3.6025,3.6425,0.9986,False,very_short
-THoVjtIkeU__12,What,0.0025,1.7625,0.7482,False,edge_clip_start
-THoVjtIkeU__12,is,3.2625,3.3025,0.9995,False,very_short
-THoVjtIkeU__12,if,4.7425,4.7825,0.9999,False,very_short
-THoVjtIkeU__12,if,6.7625,6.8025,0.9996,False,very_short
-THoVjtIkeU__12,and,10.9825,11.0625,0.9825,False,overlap_risk
-THoVjtIkeU__12,if,11.0825,11.1225,0.9996,False,very_short;overlap_risk
-THoVjtIkeU__12,will,13.2425,13.3625,0.9996,False,overlap_risk
-THoVjtIkeU__12,believe,13.3825,13.5625,0.9992,False,overlap_risk
-THoVjtIkeU__12,in,13.6025,13.6425,0.9953,False,very_short
-THoVjtIkeU__2,I,0.0425,0.0625,0.7958,False,filler_like;very_short;edge_clip_start
-THoVjtIkeU__2,is,1.8625,1.9025,0.9995,False,very_short
-THoVjtIkeU__6,You,0.4825,0.5625,0.9989,False,filler_like
-THoVjtIkeU__6,know,0.6025,0.7025,0.9996,False,filler_like
-THoVjtIkeU__6,that,0.7425,0.8225,0.0,False,low_ctc
-THoVjtIkeU__6,I,0.8625,0.8825,0.0,False,low_ctc;filler_like;very_short
-THoVjtIkeU__6,in,3.0825,3.1225,0.9992,False,very_short
-THoVjtIkeU__6,we,5.0025,5.0625,0.9997,False,overlap_risk
-THoVjtIkeU__6,have,5.0825,5.1825,0.4826,False,overlap_risk
-THoVjtIkeU__6,of,7.1225,7.1625,0.9997,False,very_short
-UUCSKoHeMA__0,I,1.4425,1.4625,0.0923,False,low_ctc;filler_like;very_short
-UUCSKoHeMA__0,a,2.0625,2.0825,0.9564,False,very_short
-UUCSKoHeMA__0,in,2.6825,2.7225,0.797,False,very_short
-UUCSKoHeMA__0,I,5.5825,5.6025,0.9895,False,filler_like;very_short
-UacrmKiTn4__10,if,0.8825,0.9225,0.9985,False,very_short
-UacrmKiTn4__10,in,2.2025,2.2425,0.9781,False,very_short
-UuX1xuaiiE__0,it's,0.0425,0.1825,0.0,False,low_ctc;edge_clip_start
-UuX1xuaiiE__1,of,0.8425,0.8825,0.9981,False,very_short
-UuX1xuaiiE__1,in,5.8425,5.8825,0.995,False,very_short
-UuX1xuaiiE__1,in,6.5625,6.6025,0.9995,False,very_short
-UuX1xuaiiE__1,a,6.6825,6.7025,0.9949,False,very_short
-UuX1xuaiiE__3,to,1.4625,1.5625,0.0477,False,low_ctc
-UuX1xuaiiE__3,a,2.6225,2.6425,0.9644,False,very_short
-UuX1xuaiiE__6,I,0.5825,0.6025,0.8961,False,filler_like;very_short
-UuX1xuaiiE__6,up,0.8425,0.8825,0.9411,False,very_short
-UuX1xuaiiE__6,an,2.9825,3.0225,0.9743,False,very_short
-UuX1xuaiiE__6,in,5.7825,5.8225,0.9777,False,very_short
-UuX1xuaiiE__6,and,6.4225,6.4825,0.0121,False,low_ctc
-UuX1xuaiiE__6,issues,6.9625,7.3025,0.3983,False,marginal_ctc
-a55Q6RWvTA__3,if,1.0425,1.0825,0.0924,False,low_ctc;very_short
-a55Q6RWvTA__3,you,1.1825,1.2825,0.759,False,filler_like
-a55Q6RWvTA__3,if,2.7025,2.7425,0.9993,False,very_short
-a55Q6RWvTA__3,you,2.8025,2.9025,0.9473,False,filler_like
-a55Q6RWvTA__3,of,5.6025,5.6425,0.7171,False,very_short;overlap_risk
-a55Q6RWvTA__3,that,5.6625,5.8025,0.9655,False,overlap_risk
-a55Q6RWvTA__3,in,8.3625,8.4025,0.9991,False,very_short
-a55Q6RWvTA__3,in,10.8425,10.8825,0.9985,False,very_short
-a55Q6RWvTA__3,a,12.7825,12.8025,0.9919,False,very_short
-a55Q6RWvTA__3,a,14.8025,14.8225,0.9601,False,very_short
-a55Q6RWvTA__3,of,15.6225,15.6625,0.6271,False,very_short
-a55Q6RWvTA__3,of,17.9025,17.9625,0.0128,False,low_ctc
-a55Q6RWvTA__3,where,18.9425,19.0625,0.8227,False,overlap_risk
-a55Q6RWvTA__3,you're,19.0825,19.2425,0.9014,False,overlap_risk
-aNfi7CP8vM__7,in,5.2425,5.2825,0.9996,False,very_short
-aqamKhZ1Ec__0,In,0.1025,0.1425,0.1693,False,low_ctc;very_short;edge_clip_start
-aqamKhZ1Ec__0,"2008,",0.3625,2.7825,0.8601,False,slow
-aqamKhZ1Ec__0,in,5.4425,5.4825,0.9854,False,very_short
-aqamKhZ1Ec__0,Kenya,5.9625,8.0025,0.5732,False,slow
-aqamKhZ1Ec__0,a,9.4025,9.4225,0.8401,False,very_short
-dxfTGcXJoc__0,than,5.9225,6.0625,0.9897,False,overlap_risk
-dxfTGcXJoc__0,"1,500",6.0825,7.1425,0.3083,False,marginal_ctc;overlap_risk
-dxfTGcXJoc__0,more,10.2225,10.3825,0.9757,False,overlap_risk
-dxfTGcXJoc__0,than,10.4025,10.5225,0.9955,False,overlap_risk
-dxfTGcXJoc__1,of,2.6425,2.6825,0.9998,False,very_short
-dxfTGcXJoc__1,I,12.3825,12.4025,0.996,False,filler_like;very_short
-dxfTGcXJoc__1,in,14.8625,14.9025,0.9998,False,very_short
-dxfTGcXJoc__2,An,0.5625,0.6025,0.9999,False,very_short
-dxfTGcXJoc__2,BIO,8.6625,8.8425,0.3587,False,marginal_ctc
-dxfTGcXJoc__6,at,1.9025,1.9425,0.9988,False,very_short
-egA8-b7-3M__1,I,0.0825,0.1025,0.9573,False,filler_like;very_short;edge_clip_start
-egA8-b7-3M__1,a,1.7625,1.7825,0.9917,False,very_short
-egA8-b7-3M__1,in,4.5425,4.5825,0.9991,False,very_short
-egA8-b7-3M__1,I,6.3825,6.4025,0.633,False,filler_like;very_short
-egA8-b7-3M__13,you,0.7825,0.8625,0.9892,False,filler_like
-egA8-b7-3M__13,an,3.0625,3.1025,0.9916,False,very_short
-egA8-b7-3M__16,of,2.0225,2.0625,0.9999,False,very_short
-egA8-b7-3M__17,you,0.7625,0.8825,0.9679,False,filler_like
-egA8-b7-3M__17,you,3.2225,3.3025,0.9996,False,filler_like
-egA8-b7-3M__17,you,5.2425,5.3425,0.9902,False,filler_like
-egA8-b7-3M__17,know,5.7025,5.8625,0.6081,False,filler_like
-egA8-b7-3M__18,It,0.5825,0.6225,0.9999,False,very_short
-egA8-b7-3M__18,at,1.9625,2.0025,0.995,False,very_short
-egA8-b7-3M__18,of,2.6225,2.6625,0.9997,False,very_short
-egA8-b7-3M__20,a,1.2025,1.2225,0.9978,False,very_short
-egA8-b7-3M__20,you,1.8025,1.8825,0.9909,False,filler_like
-egA8-b7-3M__20,a,2.7825,2.8025,0.9969,False,very_short
-egA8-b7-3M__20,you,4.5425,4.6425,0.9664,False,filler_like
-egA8-b7-3M__26,it,1.2425,1.2825,0.9812,False,very_short
-egA8-b7-3M__26,on,4.4625,4.5025,0.9984,False,very_short
-egA8-b7-3M__26,our,4.6025,4.6825,0.3745,False,marginal_ctc
-egA8-b7-3M__6,a,1.8025,1.8225,0.9669,False,very_short
-egA8-b7-3M__9,of,1.9625,2.0025,0.9984,False,very_short
-hnBHBN8p5A__6,Discussion,0.2425,0.6225,0.0993,False,low_ctc
-hnBHBN8p5A__6,how,0.6825,0.8025,0.3332,False,marginal_ctc
-hnBHBN8p5A__6,to,0.8625,0.9225,0.1322,False,low_ctc
-hnBHBN8p5A__6,discuss,0.9425,1.2425,0.2853,False,marginal_ctc
-hnBHBN8p5A__6,ideas,1.6025,1.7225,0.1602,False,low_ctc
-hnBHBN8p5A__6,and,1.7625,1.8425,0.0206,False,low_ctc
-hnBHBN8p5A__6,more,3.9425,4.0625,0.3374,False,marginal_ctc
-hnBHBN8p5A__6,effectively,4.1225,4.5425,0.177,False,low_ctc
-hnBHBN8p5A__6,than,4.6225,4.8825,0.2499,False,low_ctc
-hnBHBN8p5A__6,a,5.7425,5.7625,0.9747,False,very_short
-hnBHBN8p5A__6,native,5.8825,6.0225,0.1665,False,low_ctc
-hnBHBN8p5A__6,speaker,6.0425,6.3225,0.1453,False,low_ctc;edge_clip_end
-hnBHBN8p5A__7,Picture,0.2825,0.8225,0.1429,False,low_ctc
-hnBHBN8p5A__7,this,0.8825,1.0225,0.0,False,low_ctc
-hnBHBN8p5A__7,we,1.9825,2.0625,0.0,False,low_ctc
-hnBHBN8p5A__7,actually,2.1025,2.4425,0.2401,False,low_ctc
-hnBHBN8p5A__7,start,3.5025,3.6825,0.1999,False,low_ctc
-hnBHBN8p5A__7,hacking,3.7425,4.0825,0.0818,False,low_ctc
-hnBHBN8p5A__7,we’re,4.1825,4.5825,0.1968,False,low_ctc
-hnBHBN8p5A__7,a,5.1825,5.2025,0.0032,False,low_ctc;very_short
-hnBHBN8p5A__7,room,5.3425,5.4625,0.0001,False,low_ctc
-hnBHBN8p5A__7,formal,5.5225,5.8625,0.333,False,marginal_ctc
-hnBHBN8p5A__7,setting,6.9225,7.2425,0.3506,False,marginal_ctc;edge_clip_end
-iRBcNs9oI8__3,it,1.2225,1.2625,0.0,False,low_ctc;very_short
-iRBcNs9oI8__3,is,1.9825,2.0225,0.001,False,low_ctc;very_short
-iRBcNs9oI8__3,secret,3.3225,3.6225,0.3334,False,marginal_ctc
-iRBcNs9oI8__3,power,4.4025,4.9425,0.2104,False,low_ctc
-iRBcNs9oI8__3,pose,5.1025,5.4425,0.25,False,marginal_ctc
-iRBcNs9oI8__6,What,0.3425,0.7625,0.4476,False,marginal_ctc
-iRBcNs9oI8__6,a,1.6225,1.6425,0.0,False,low_ctc;very_short
-iRBcNs9oI8__6,power,2.0625,2.3025,0.3984,False,marginal_ctc
-iRBcNs9oI8__6,pose,2.5425,2.6225,0.0002,False,low_ctc
-iRBcNs9oI8__7,Well,0.0425,0.2225,0.25,False,low_ctc;edge_clip_start
-iRBcNs9oI8__7,for,0.2825,0.3625,0.0001,False,low_ctc
-iRBcNs9oI8__7,starters,0.4425,1.5825,0.3529,False,marginal_ctc
-iRBcNs9oI8__7,let's,1.6225,1.9425,0.2,False,low_ctc
-iRBcNs9oI8__7,look,2.4025,2.5625,0.0,False,low_ctc
-iRBcNs9oI8__7,word,3.1625,3.3025,0.25,False,low_ctc
-iRBcNs9oI8__7,power,3.6025,3.9825,0.3463,False,marginal_ctc;edge_clip_end
-iRBcNs9oI8__8,I've,0.0025,0.2025,0.5,False,edge_clip_start
-iRBcNs9oI8__8,drawn,0.3225,0.7025,0.2,False,low_ctc
-iRBcNs9oI8__8,man,1.9025,2.0425,0.3326,False,marginal_ctc
-iRBcNs9oI8__8,here,2.1825,2.3825,0.25,False,low_ctc
-iRBcNs9oI8__8,and,2.5625,2.6425,0.0,False,low_ctc
-iRBcNs9oI8__8,if,2.7425,2.8025,0.0001,False,low_ctc
-iRBcNs9oI8__8,you,3.9625,4.0625,0.3331,False,marginal_ctc;filler_like
-iRBcNs9oI8__8,can,4.1025,4.2025,0.3333,False,marginal_ctc
-iRBcNs9oI8__8,tell,4.2225,4.3425,0.0,False,low_ctc
-iRBcNs9oI8__8,has,4.5225,4.8025,0.0,False,low_ctc
-iRBcNs9oI8__8,a,4.9425,4.9625,0.4641,False,very_short
-iRBcNs9oI8__8,lot,5.1025,5.3025,0.1667,False,low_ctc
-iRBcNs9oI8__8,of,5.4425,5.4825,0.4999,False,very_short
-iRBcNs9oI8__8,big,5.6825,5.8825,0.3333,False,marginal_ctc
-iRBcNs9oI8__8,muscles,5.9625,6.7425,0.1429,False,low_ctc
-iRBcNs9oI8__8,he,7.2025,7.2425,0.0,False,low_ctc;very_short
-iRBcNs9oI8__8,looks,7.2825,7.4025,0.2,False,low_ctc
-iRBcNs9oI8__8,very,7.5425,7.6625,0.2495,False,low_ctc
-iRBcNs9oI8__8,strong,7.7025,8.0025,0.3332,False,marginal_ctc;edge_clip_end
-iRBcNs9oI8__9,Power,0.0025,0.2825,0.1855,False,low_ctc;edge_clip_start
-iRBcNs9oI8__9,is,0.3025,0.3425,0.0001,False,low_ctc;very_short
-iRBcNs9oI8__9,similar,1.3025,1.6625,0.1427,False,low_ctc
-iRBcNs9oI8__9,strength,2.4225,2.6025,0.1251,False,low_ctc
-lzEya4AM_4__5,it,0.6625,0.7025,0.9991,False,very_short
-lzEya4AM_4__5,oh,1.3625,1.4425,0.0931,False,low_ctc;filler_like
-lzEya4AM_4__5,of,1.8025,1.8425,0.9983,False,very_short
-lzEya4AM_4__5,would,6.2425,6.3825,0.9814,False,overlap_risk
-lzEya4AM_4__5,be,6.4025,6.4625,0.9973,False,overlap_risk
-lzEya4AM_4__5,next,6.6425,6.8025,0.9744,False,overlap_risk
-lzEya4AM_4__5,step,6.8225,7.0425,0.1907,False,low_ctc;overlap_risk
-lzEya4AM_4__6,If,0.6025,0.6425,0.9997,False,very_short
-lzEya4AM_4__6,or,1.5825,1.6225,0.9997,False,very_short
-lzEya4AM_4__6,is,2.2025,2.2425,0.4996,False,very_short
-lzEya4AM_4__6,of,2.7425,2.7825,0.9979,False,very_short
-lzEya4AM_4__6,you,5.8025,5.8825,0.9992,False,filler_like
-lzEya4AM_4__6,as,9.7625,9.8025,0.0113,False,low_ctc;very_short
-lzEya4AM_4__6,on,10.7625,10.8025,0.9993,False,very_short
-lzEya4AM_4__6,it,11.8025,11.8425,0.999,False,very_short
-lzEya4AM_4__6,could,11.8825,12.0225,0.9988,False,overlap_risk
-lzEya4AM_4__6,cause,12.0425,12.2825,0.9977,False,overlap_risk
-lzEya4AM_4__6,on,13.4625,13.5025,0.9987,False,very_short
-mJ2ud6oKI8__1,There,0.0025,0.2825,0.0224,False,low_ctc;edge_clip_start
-mJ2ud6oKI8__1,are,0.3025,0.3625,0.0259,False,low_ctc
-mJ2ud6oKI8__1,a,0.3825,0.4025,0.037,False,low_ctc;very_short;overlap_risk
-mJ2ud6oKI8__1,dozen,0.4225,0.6225,0.011,False,low_ctc;overlap_risk;overlap_risk
-mJ2ud6oKI8__1,or,0.6425,0.6825,0.014,False,low_ctc;very_short;overlap_risk
-mJ2ud6oKI8__1,more,0.7025,0.7825,0.0151,False,low_ctc
-mJ2ud6oKI8__1,hands,0.8025,5.4025,0.0163,False,low_ctc;slow
-mJ2ud6oKI8__1,on,5.4225,5.4625,0.0098,False,low_ctc;very_short;overlap_risk
-mJ2ud6oKI8__1,techniques,5.4825,5.6825,0.0178,False,low_ctc;overlap_risk;overlap_risk
-mJ2ud6oKI8__1,that,5.7025,5.7825,0.0261,False,low_ctc;overlap_risk
-mJ2ud6oKI8__1,we,5.8025,5.8625,0.016,False,low_ctc
-mJ2ud6oKI8__1,can,5.9225,5.9825,0.0135,False,low_ctc;edge_clip_end
-mJ2ud6oKI8__1,do,6.0025,6.0425,0.0108,False,low_ctc;very_short;edge_clip_end
-mJ2ud6oKI8__2,So,0.0025,0.0625,0.0268,False,low_ctc;edge_clip_start
-mJ2ud6oKI8__2,physical,0.0825,0.4025,0.0169,False,low_ctc;edge_clip_start
-mJ2ud6oKI8__2,therapists,0.4425,3.2825,0.0248,False,low_ctc;slow
-mJ2ud6oKI8__2,and,3.3225,3.3825,0.0143,False,low_ctc
-mJ2ud6oKI8__2,chiropractors,3.4025,4.6825,0.0167,False,low_ctc
-mJ2ud6oKI8__2,will,4.7225,4.8225,0.0093,False,low_ctc
-mJ2ud6oKI8__2,do,4.8425,4.8825,0.0113,False,low_ctc;very_short;overlap_risk
-mJ2ud6oKI8__2,joint,4.9025,5.0025,0.0167,False,low_ctc;overlap_risk;overlap_risk
-mJ2ud6oKI8__2,manipulations,5.0225,5.2825,0.0185,False,low_ctc;overlap_risk
-mJ2ud6oKI8__2,and,5.3025,5.3625,0.0142,False,low_ctc
-mJ2ud6oKI8__2,mobilizations,5.3825,5.6625,0.0188,False,low_ctc;edge_clip_end
-mJ2ud6oKI8__6,They,0.0225,0.1625,0.4757,False,edge_clip_start
-mJ2ud6oKI8__6,are,0.2025,0.3825,0.3333,False,marginal_ctc
-mJ2ud6oKI8__6,very,0.7825,0.9425,0.0002,False,low_ctc
-mJ2ud6oKI8__6,safe,1.3625,2.1625,0.2052,False,low_ctc;edge_clip_end
-mJ2ud6oKI8__8,Sometimes,0.7825,1.1425,0.0673,False,low_ctc
-mJ2ud6oKI8__8,we,1.2225,1.3625,0.0002,False,low_ctc
-mJ2ud6oKI8__8,stretch,2.0225,2.3425,0.019,False,low_ctc
-mJ2ud6oKI8__8,that,2.4025,2.4825,0.0528,False,low_ctc
-mJ2ud6oKI8__8,joint,2.5425,2.7825,0.0,False,low_ctc
-mJ2ud6oKI8__8,is,3.2225,3.2625,0.0124,False,low_ctc;very_short
-mJ2ud6oKI8__8,already,3.3825,3.7425,0.3037,False,marginal_ctc
-mJ2ud6oKI8__8,irritated,3.7825,4.1625,0.0862,False,low_ctc;edge_clip_end
-mJ2ud6oKI8__9,It's,0.0625,0.2825,0.2455,False,low_ctc;edge_clip_start
-mJ2ud6oKI8__9,safe,0.3625,0.5225,0.25,False,marginal_ctc
-mJ2ud6oKI8__9,the,0.8425,0.9225,0.0,False,low_ctc
-mJ2ud6oKI8__9,person,1.0625,1.4225,0.334,False,marginal_ctc
